CompanyName,CompanyNumber,incorporation_date,CompanyStatus,SICCode_SicText_1,SICCode_SicText_2,SICCode_SicText_3,SICCode_SicText_4,Company_URL_official_company_website,Game_what_they_say_they_do_description_taken_from_their_website,Number_of_employees_2024,Number_of_employees_2023,Number_of_employees_2022,Location_of_main_manufacturing_site_ideally_google_maps_location
APOGEE FLOW SYSTEMS LTD,03947604,2000-03-14,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
APOLLO ENGINEERING TECHNOLOGY LIMITED,08590390,2013-07-01,Active,26512 - Manufacture of electronic industrial process control equipment,"28930 - Manufacture of machinery for food, beverage and tobacco processing",56290 - Other food services,,,,,,,
APOLLO FOAM LIMITED,11578256,2018-09-19,Active,22190 - Manufacture of other rubber products,,,,,,,,,
APOLLOTEK LIMITED,01813857,1984-05-04,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
APPH LIMITED,01972451,1985-12-18,Active,28120 - Manufacture of fluid power equipment,30300 - Manufacture of air and spacecraft and related machinery,,,,,,,,
APPLECOAT LIMITED,11073135,2017-11-20,Active - Proposal to Strike off,27120 - Manufacture of electricity distribution and control apparatus,,,,,,,,,
APPLIANCE TEC INTELLIGENCE LTD,09960067,2016-01-20,Liquidation,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
APPLIED ACOUSTIC ENGINEERING LIMITED,02357352,1989-03-08,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
APPLIED CORROSION MONITORING LIMITED,01964449,1985-11-25,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
APPLIED FUNCTIONAL MATERIALS LIMITED,04562522,2002-10-15,Active,23440 - Manufacture of other technical ceramic products,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,
APPLIED IQ LTD,16162397,2025-01-03,Active,27120 - Manufacture of electricity distribution and control apparatus,,,,,,,,,
APPLIED LASER ENGINEERING LIMITED,02443307,1989-11-16,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
APPLIED MOTION TECHNOLOGY LIMITED,04359149,2002-01-23,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
APPLIED PHOTOPHYSICS LIMITED,01006739,1971-04-01,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
APPLIED POWER SERVICES (SOUTH WESTERN) LIMITED,02742606,1992-08-25,Active,"27110 - Manufacture of electric motors, generators and transformers",,,,,,,,,
APPLIED SCIENCE & TECHNOLOGY SOLUTIONS LTD,08571360,2013-06-17,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",72190 - Other research and experimental development on natural sciences and engineering,,,,,,,,
APPLIED SCIENCE KNOWLEDGE LTD,11585431,2018-09-24,Active,26512 - Manufacture of electronic industrial process control equipment,61200 - Wireless telecommunications activities,70229 - Management consultancy activities other than financial management,72190 - Other research and experimental development on natural sciences and engineering,,,,,,
APPLIED TRAFFIC LIMITED,04265207,2001-08-06,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
APPLIED VWS LIMITED,16198200,2025-01-21,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
APPLIED WEIGHING INTERNATIONAL LIMITED,02851771,1993-09-09,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
APPLIEDLIFE BIO TECHNOLOGY LIMITED,15478494,2024-02-10,Active - Proposal to Strike off,26512 - Manufacture of electronic industrial process control equipment,"27110 - Manufacture of electric motors, generators and transformers",27120 - Manufacture of electricity distribution and control apparatus,27900 - Manufacture of other electrical equipment,,,,,,
APRETES ELECTRIC SYSTEMS LIMITED,07968989,2012-02-29,Active,27120 - Manufacture of electricity distribution and control apparatus,27400 - Manufacture of electric lighting equipment,28140 - Manufacture of taps and valves,45112 - Sale of used cars and light motor vehicles,,,,,,
APRIL ROBOTICS LIMITED,12245427,2019-10-07,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
APSN GROUP LTD,14907854,2023-06-01,Active,28140 - Manufacture of taps and valves,46690 - Wholesale of other machinery and equipment,46900 - Non-specialised wholesale trade,,,,,,,
APTISENS LTD,08935017,2014-03-12,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
APTIVOLT LIMITED,08654066,2013-08-16,Active,27120 - Manufacture of electricity distribution and control apparatus,,,,,,,,,
AQUA VALVE LIMITED,06925137,2009-06-05,Active,28140 - Manufacture of taps and valves,,,,,,,,,
"AQUA WINGS TECHNOLOGY CO., LTD",13829812,2022-01-05,Active,14190 - Manufacture of other wearing apparel and accessories n.e.c.,28131 - Manufacture of pumps,"32409 - Manufacture of other games and toys, n.e.c.",46900 - Non-specialised wholesale trade,,,,,,
AQUA-GAS MANUFACTURING LIMITED,01712839,1983-04-07,Active,28140 - Manufacture of taps and valves,,,,,,,,,
AQUACHECK ENGINEERING LIMITED,06906233,2009-05-14,Active,28140 - Manufacture of taps and valves,,,,,,,,,
AQUACULTURE EQUIPMENT LIMITED,04470461,2002-06-26,Active,"27110 - Manufacture of electric motors, generators and transformers",93290 - Other amusement and recreation activities n.e.c.,,,,,,,,
AQUACULTURE INNOVATIONS LIMITED,13255172,2021-03-09,Active,03220 - Freshwater aquaculture,26120 - Manufacture of loaded electronic boards,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",71121 - Engineering design activities for industrial process and production,,,,,,
AQUAGUARD PUMPS LTD,13327905,2021-04-12,Active,28131 - Manufacture of pumps,,,,,,,,,
AQUALISA PRODUCTS LIMITED,01281596,1976-10-14,Active,28140 - Manufacture of taps and valves,,,,,,,,,
AQUAMATIC LIMITED,02615425,1991-05-29,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
AQUANTIC LOGIE FISH COUNTERS LTD,11485987,2018-07-26,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
AQUARIUS POWER PUMPS LIMITED,15133800,2023-09-12,Active,28131 - Manufacture of pumps,"46140 - Agents involved in the sale of machinery, industrial equipment, ships and aircraft",,,,,,,,
AQUASEAL RUBBER LIMITED,02681117,1992-01-27,Active,22190 - Manufacture of other rubber products,,,,,,,,,
AQUASIGN LIMITED,SC518023,2015-10-15,Active,22190 - Manufacture of other rubber products,22290 - Manufacture of other plastic products,25990 - Manufacture of other fabricated metal products n.e.c.,,,,,,,
AQUASIGN MARKERS LIMITED,SC166529,1996-06-19,Active,22190 - Manufacture of other rubber products,,,,,,,,,
AQUATRONIC GROUP MANAGEMENT LIMITED,03426729,1997-08-29,Active,28131 - Manufacture of pumps,33190 - Repair of other equipment,64209 - Activities of other holding companies n.e.c.,81100 - Combined facilities support activities,,,,,,
AQUAVANTAGE LIMITED,03403943,1997-07-16,Active,26512 - Manufacture of electronic industrial process control equipment,27900 - Manufacture of other electrical equipment,,,,,,,,
AQUILAR LIMITED,04036575,2000-07-19,Active,26110 - Manufacture of electronic components,27120 - Manufacture of electricity distribution and control apparatus,82990 - Other business support service activities n.e.c.,,,,,,,
AR & AM LTD,16237680,2025-02-07,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
AR FIELD TECHNOLOGIES LTD,16056711,2024-11-02,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
ARABELLE SERVICES UK LIMITED,04347573,2002-01-04,Active,"27110 - Manufacture of electric motors, generators and transformers",,,,,,,,,
ARANHA LIMITED,05674200,2006-01-13,Active,26512 - Manufacture of electronic industrial process control equipment,62012 - Business and domestic software development,,,,,,,,
ARBARR-ESS LIMITED,NI694542,2023-02-14,Active,"27110 - Manufacture of electric motors, generators and transformers",,,,,,,,,
ARBEL ELECTRONICS LIMITED,05484861,2005-06-20,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
ARBURY ELECTRICAL SERVICES LTD,13916868,2022-02-15,Active,27120 - Manufacture of electricity distribution and control apparatus,,,,,,,,,
ARCADIA DESICCANT TECHNOLOGY LIMITED,13547998,2021-08-04,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
ARCH INDUSTRIAL TECHNOLOGIES LTD,12210233,2019-09-16,Active,27120 - Manufacture of electricity distribution and control apparatus,27900 - Manufacture of other electrical equipment,,,,,,,,
ARCHWAY ENTERPRISE TECHNOLOGY LIMITED,13654246,2021-09-30,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
ARCUS CLEANING SYSTEMS LTD,NI662208,2019-06-12,Active,26512 - Manufacture of electronic industrial process control equipment,71121 - Engineering design activities for industrial process and production,71122 - Engineering related scientific and technical consulting activities,,,,,,,
AREEB ARSHAD LTD,14237875,2022-07-15,Active,22190 - Manufacture of other rubber products,25620 - Machining,,,,,,,,
AREMBE LIMITED,04268878,2001-08-13,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
"AREVAT&D CO., LTD",12788453,2020-08-03,Active,26110 - Manufacture of electronic components,"27110 - Manufacture of electric motors, generators and transformers",27120 - Manufacture of electricity distribution and control apparatus,27900 - Manufacture of other electrical equipment,,,,,,
ARGON ELECTRONICS (UK) LTD,07170285,2010-02-25,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
ARK METRICA LTD,12234750,2019-09-30,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",71122 - Engineering related scientific and technical consulting activities,71200 - Technical testing and analysis,72190 - Other research and experimental development on natural sciences and engineering,,,,,,
ARKTIS RADIATION DETECTORS UK LIMITED,10916058,2017-08-15,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
ARM CHEN LIMITED,NI704847,2023-11-15,Active,22190 - Manufacture of other rubber products,,,,,,,,,
ARMACELL UK LIMITED,03729805,1999-03-10,Active,22190 - Manufacture of other rubber products,,,,,,,,,
ARMAH SWITCHGEAR LIMITED,02579291,1991-02-01,Active,27120 - Manufacture of electricity distribution and control apparatus,,,,,,,,,
ARMAK LTD,09342759,2014-12-05,Active,28131 - Manufacture of pumps,,,,,,,,,
ARMAWRAP LIMITED,SC363799,2009-08-11,Active,22190 - Manufacture of other rubber products,,,,,,,,,
ARMSTRONG INTEGRATED LIMITED,04956493,2003-11-07,Active,28131 - Manufacture of pumps,,,,,,,,,
ARMSTRONG INTEGRATED SYSTEMS LIMITED,05103932,2004-04-16,Active,28131 - Manufacture of pumps,,,,,,,,,
ARMSTRONG PUMPS LIMITED,01294120,1977-01-13,Active,28131 - Manufacture of pumps,,,,,,,,,
ARMTEC ENGINEERING LTD,10014033,2016-02-18,Active,22190 - Manufacture of other rubber products,,,,,,,,,
AROLCO (IRELAND) LIMITED,NI026596,1992-05-19,Active,22190 - Manufacture of other rubber products,25620 - Machining,,,,,,,,
ARQUER DIAGNOSTICS LIMITED,05426676,2005-04-18,In Administration,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",32500 - Manufacture of medical and dental instruments and supplies,,,,,,,,
ARRIVAL DOWNHOLE TOOLS UK LTD.,07623492,2011-05-05,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",72190 - Other research and experimental development on natural sciences and engineering,,,,,,,,
ARROW HOME GROUP LTD,13671348,2021-10-11,Active,17220 - Manufacture of household and sanitary goods and of toilet requisites,23410 - Manufacture of ceramic household and ornamental articles,23420 - Manufacture of ceramic sanitary fixtures,28140 - Manufacture of taps and valves,,,,,,
ARROW VALVES LIMITED,03763582,1999-04-30,Active,28131 - Manufacture of pumps,28140 - Manufacture of taps and valves,46690 - Wholesale of other machinery and equipment,,,,,,,
ARROWTAC LTD,06222382,2007-04-23,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",68209 - Other letting and operating of own or leased real estate,70229 - Management consultancy activities other than financial management,71121 - Engineering design activities for industrial process and production,,,,,,
ARTEL RUBBER COMPANY LIMITED,06775009,2008-12-17,Active,22190 - Manufacture of other rubber products,,,,,,,,,
ARTEL RUBBER HOLDINGS LIMITED,06028020,2006-12-13,Active,22190 - Manufacture of other rubber products,,,,,,,,,
ARUN PUMPS LIMITED,01739312,1983-07-13,Active,28131 - Manufacture of pumps,,,,,,,,,
ARUN TECHNOLOGY LTD,05616679,2005-11-09,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
ARW TRANSFORMERS LIMITED,SC021727,1941-04-29,Active,"27110 - Manufacture of electric motors, generators and transformers",,,,,,,,,
ARXINE LIMITED,11028332,2017-10-24,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",71129 - Other engineering activities,,,,,,,,
ASAP CONTROLS LIMITED,13454587,2021-06-14,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
ASAP STAMPS LTD,05604906,2005-10-27,Active,22190 - Manufacture of other rubber products,,,,,,,,,
ASCEND DIAGNOSTICS LIMITED,09971953,2016-01-27,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
ASCEND ENERGY LIMITED,16436087,2025-05-07,Active,"27110 - Manufacture of electric motors, generators and transformers",27900 - Manufacture of other electrical equipment,,,,,,,,
ASCOTT ANALYTICAL EQUIPMENT LIMITED,02590442,1991-03-11,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
ASEA ENGINEERING & CONSULTANCY LTD,SC692463,2021-03-16,Active,27120 - Manufacture of electricity distribution and control apparatus,42220 - Construction of utility projects for electricity and telecommunications,71122 - Engineering related scientific and technical consulting activities,,,,,,,
ASEPTIKA LIMITED,06425174,2007-11-13,Liquidation,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",32500 - Manufacture of medical and dental instruments and supplies,,,,,,,,
ASH MAGNETICS LIMITED,10610433,2017-02-09,Active,"27110 - Manufacture of electric motors, generators and transformers",,,,,,,,,
ASHCROFT INSTRUMENTS LIMITED,09593119,2015-05-15,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
ASHMIT ENGINEERING LIMITED,09572438,2015-05-01,Active,26512 - Manufacture of electronic industrial process control equipment,28990 - Manufacture of other special-purpose machinery n.e.c.,46190 - Agents involved in the sale of a variety of goods,62090 - Other information technology service activities,,,,,,
ASHRIDGE ENGINEERING LIMITED,01468514,1979-12-24,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
ASHWORTH CONTROLS LTD,15358985,2023-12-18,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
ASIA HERO STAR TRADERS LIMITED LIMITED,14759910,2023-03-27,Active - Proposal to Strike off,"27110 - Manufacture of electric motors, generators and transformers",,,,,,,,,
ASNU CORPORATION EUROPE LIMITED,03322002,1997-02-21,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
ASPECT ASSEMBLY LIMITED,02865377,1993-10-25,Liquidation,26110 - Manufacture of electronic components,26120 - Manufacture of loaded electronic boards,26512 - Manufacture of electronic industrial process control equipment,,,,,,,
ASPER SYSTEMS LIMITED,SC265021,2004-03-17,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
ASSET MAINTENANCE SOLUTIONS LIMITED,SC853420,2025-06-24,Active,27120 - Manufacture of electricity distribution and control apparatus,33140 - Repair of electrical equipment,71129 - Other engineering activities,,,,,,,
ASTEC DIGITAL UK LTD,13536217,2021-07-28,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
ASTECH ELECTRONICS LIMITED,01164924,1974-03-29,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
ASTHMATIC LIMITED,06570117,2008-04-18,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
ASTON UK INTERNATIONAL LIMITED,09523863,2015-04-02,Active,28140 - Manufacture of taps and valves,,,,,,,,,
ASTRAEA SYSTEMS LIMITED,16098281,2024-11-25,Active,27120 - Manufacture of electricity distribution and control apparatus,27320 - Manufacture of other electronic and electric wires and cables,27900 - Manufacture of other electrical equipment,43210 - Electrical installation,,,,,,
ASTRANET SYSTEMS (CAMBRIDGE) LTD,11405869,2018-06-08,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",26512 - Manufacture of electronic industrial process control equipment,26701 - Manufacture of optical precision instruments,,,,,,,
ASYNT LIMITED,05160407,2004-06-22,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
ATB GROUP UK LIMITED,06241009,2007-05-09,Active,"27110 - Manufacture of electric motors, generators and transformers",,,,,,,,,
ATB LAURENCE SCOTT LIMITED,09568010,2015-04-29,Active,"27110 - Manufacture of electric motors, generators and transformers",,,,,,,,,
ATB SPECIAL PRODUCTS LIMITED,00476716,1949-12-31,Active,"27110 - Manufacture of electric motors, generators and transformers",,,,,,,,,
ATF POWER UK COMPANY LIMITED,16253539,2025-02-14,Active,"27110 - Manufacture of electric motors, generators and transformers","28110 - Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",28131 - Manufacture of pumps,28132 - Manufacture of compressors,,,,,,
ATHLETIC TECHNOLOGY COMPANY LIMITED,12267665,2019-10-17,Active,"27110 - Manufacture of electric motors, generators and transformers",62012 - Business and domestic software development,,,,,,,,
ATHOLL INDUSTRIAL SOLUTIONS LIMITED,SC558448,2017-02-22,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
"ATHWELL NEW ENERGY TECHNOLOGY CO., LTD",13400173,2021-05-16,Active,26512 - Manufacture of electronic industrial process control equipment,27120 - Manufacture of electricity distribution and control apparatus,27400 - Manufacture of electric lighting equipment,27900 - Manufacture of other electrical equipment,,,,,,
ATI EUROPE LIMITED,08339927,2012-12-21,Active,26512 - Manufacture of electronic industrial process control equipment,28140 - Manufacture of taps and valves,,,,,,,,
ATKINSON TECHNICAL GROUP LIMITED,03926257,2000-02-15,Active,26120 - Manufacture of loaded electronic boards,26512 - Manufacture of electronic industrial process control equipment,27900 - Manufacture of other electrical equipment,,,,,,,
ATL TRANSFORMERS LIMITED,01557288,1981-04-22,Active,"27110 - Manufacture of electric motors, generators and transformers",,,,,,,,,
ATLANTIC INERTIAL SYSTEMS LIMITED,06208660,2007-04-11,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
ATLANTIC PUMPS LIMITED,09400148,2015-01-21,Active,28131 - Manufacture of pumps,,,,,,,,,
ATLANTIC RUBBER & PLASTIC LIMITED,03350347,1997-04-10,Active,22190 - Manufacture of other rubber products,,,,,,,,,
ATLAS COPCO AIR COMPRESSORS LIMITED,15693625,2024-04-30,Active,28132 - Manufacture of compressors,,,,,,,,,
ATLAS SEALS LIMITED,03144530,1996-01-10,Active,22190 - Manufacture of other rubber products,,,,,,,,,
"ATM ACOUSTICS TECHNOLOGY CO., LTD",14444463,2022-10-26,Active,26512 - Manufacture of electronic industrial process control equipment,27900 - Manufacture of other electrical equipment,28120 - Manufacture of fluid power equipment,28290 - Manufacture of other general-purpose machinery n.e.c.,,,,,,
ATMOS WAVE LTD,06500535,2008-02-11,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
ATO-GEAR LTD,11270602,2018-03-22,Active,26400 - Manufacture of consumer electronics,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",32300 - Manufacture of sports goods,96040 - Physical well-being activities,,,,,,
ATOMIC PROGRAMMING LIMITED,04460649,2002-06-13,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
ATS APPLIED TECH SYSTEMS SCOTLAND LTD,SC246980,2003-04-01,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
ATS INDUSTRY LTD,12655071,2020-06-09,Active,26512 - Manufacture of electronic industrial process control equipment,26701 - Manufacture of optical precision instruments,"46140 - Agents involved in the sale of machinery, industrial equipment, ships and aircraft",46690 - Wholesale of other machinery and equipment,,,,,,
ATX-DYNO LTD.,09408699,2015-01-27,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
AUDIO3 LTD,06275115,2007-06-11,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
AUDIT365 LIMITED,15631979,2024-04-10,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
AUDLEY SCIENTIFIC LIMITED,02066975,1986-10-23,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
AURUM 2019 LTD,12524445,2020-03-18,Active - Proposal to Strike off,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",64992 - Factoring,,,,,,,,
AUSTIN ELECTRIC LTD,12219849,2019-09-21,Active,"27110 - Manufacture of electric motors, generators and transformers",27200 - Manufacture of batteries and accumulators,29100 - Manufacture of motor vehicles,,,,,,,
AUTHENTIGAIT LTD,10972249,2017-09-20,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control","74909 - Other professional, scientific and technical activities n.e.c.",85590 - Other education n.e.c.,,,,,,,
AUTO CONTROL TOUCHDOWN LIMITED,10922193,2017-08-18,Active - Proposal to Strike off,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
AUTY PRECISION PRODUCTS LIMITED,01801237,1984-03-19,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
AUTODEF LTD,14986152,2023-07-06,Active,28131 - Manufacture of pumps,,,,,,,,,
AUTOECO LIMITED,13071738,2020-12-09,Active,26400 - Manufacture of consumer electronics,27120 - Manufacture of electricity distribution and control apparatus,43290 - Other construction installation,,,,,,,
AUTOLAB SOLUTIONS LTD,16113313,2024-12-02,Active,26512 - Manufacture of electronic industrial process control equipment,62012 - Business and domestic software development,71121 - Engineering design activities for industrial process and production,,,,,,,
AUTOMATED CONTROL SERVICES LTD,03671960,1998-11-23,Active,27120 - Manufacture of electricity distribution and control apparatus,43210 - Electrical installation,,,,,,,,
AUTOMATED DATA MANAGEMENT LIMITED,06337731,2007-08-08,Liquidation,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
AUTOMATED ENVIRONMENTAL SYSTEMS (SOUTH) LIMITED,06150448,2007-03-12,Active,28131 - Manufacture of pumps,,,,,,,,,
AUTOMATED VISION LTD,09890180,2015-11-26,Active,26512 - Manufacture of electronic industrial process control equipment,72190 - Other research and experimental development on natural sciences and engineering,"74909 - Other professional, scientific and technical activities n.e.c.",,,,,,,
AUTOMATED WATER & EFFLUENT LIMITED,01624424,1982-03-24,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
AUTOMATIC CONTROL SYSTEMS (SCOTLAND) LTD.,SC176957,1997-07-04,Active,27120 - Manufacture of electricity distribution and control apparatus,,,,,,,,,
AUTOMATIC DOOR COMPONENTS LTD,SC320660,2007-04-10,Active,"27110 - Manufacture of electric motors, generators and transformers",,,,,,,,,
AUTOMATION APPLICATIONS LTD,06221372,2007-04-20,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
AUTOMATION CONTROLS (BELFAST) LIMITED,NI013117,1978-10-17,Active,27120 - Manufacture of electricity distribution and control apparatus,,,,,,,,,
AUTOMETERS SYSTEMS LIMITED,04714588,2003-03-27,Active,27120 - Manufacture of electricity distribution and control apparatus,,,,,,,,,
AUTONNIC RESEARCH LIMITED,01588602,1981-10-01,Active,26110 - Manufacture of electronic components,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,
AUTOPOUR LIMITED,15009822,2023-07-18,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
AUTOTAPS (UK) LIMITED,08470468,2013-04-03,Active,28140 - Manufacture of taps and valves,,,,,,,,,
AUTOTAPS LIMITED,06537331,2008-03-18,Active,28140 - Manufacture of taps and valves,,,,,,,,,
AV ACTUATORS LIMITED,09235276,2014-09-25,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
AV CONTROL SYSTEMS LIMITED,05881723,2006-07-19,Active,27120 - Manufacture of electricity distribution and control apparatus,,,,,,,,,
AV INDUSTRIAL PRODUCTS LIMITED,04116500,2000-11-29,Active,22190 - Manufacture of other rubber products,46760 - Wholesale of other intermediate products,,,,,,,,
AV MOUNTS UK LTD,05797023,2006-04-26,Active,22190 - Manufacture of other rubber products,,,,,,,,,
AVALON SCIENCES LIMITED,02147892,1987-07-16,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
AVEILLANT LIMITED,07645131,2011-05-24,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",46520 - Wholesale of electronic and telecommunications equipment and parts,72190 - Other research and experimental development on natural sciences and engineering,,,,,,,
AVELAIR LIMITED,02800984,1993-03-18,Active,28132 - Manufacture of compressors,,,,,,,,,
AVELEC LIMITED,02441383,1989-11-09,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
AVID CONTROLS UK LIMITED,16206431,2025-01-24,Active,27120 - Manufacture of electricity distribution and control apparatus,,,,,,,,,
AVK HOLDCO UK LIMITED,13596404,2021-09-01,Active,"27110 - Manufacture of electric motors, generators and transformers",,,,,,,,,
AVON ENGINEERED RUBBER LIMITED,06290354,2007-06-22,Active,22190 - Manufacture of other rubber products,,,,,,,,,
AVON HYDRAULICS (UK) LIMITED,04351671,2002-01-11,Active,28120 - Manufacture of fluid power equipment,,,,,,,,,
AVON POLYMER PRODUCTS LIMITED,00149360,1918-01-10,Active,22190 - Manufacture of other rubber products,,,,,,,,,
AVON TECHNOLOGIES PLC,00032965,,Active,22190 - Manufacture of other rubber products,,,,,,,,,
AVONWOOD DEVELOPMENTS LIMITED,02570711,1990-12-24,Active,"26309 - Manufacture of communication equipment other than telegraph, and telephone apparatus and equipment",26512 - Manufacture of electronic industrial process control equipment,,,,,,,,
AVURO LTD,11347388,2018-05-04,Active,28131 - Manufacture of pumps,72190 - Other research and experimental development on natural sciences and engineering,,,,,,,,
AWE DIRECT LIMITED,04333139,2001-12-03,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
AWS PUMPS LIMITED,13837810,2022-01-10,Active,28131 - Manufacture of pumps,,,,,,,,,
AXIOM CONTROL EQUIPMENT LIMITED,10927520,2017-08-22,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
AXIS CONTROLS (NW) LIMITED,06681671,2008-08-27,Active,26514 - Manufacture of non-electronic industrial process control equipment,,,,,,,,,
AXIS MOTOR CORPORATION LTD,NI696835,2023-05-03,Active,"27110 - Manufacture of electric motors, generators and transformers",32990 - Other manufacturing n.e.c.,,,,,,,,
AXIVITY LTD,07594024,2011-04-06,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
AXLE WEIGHT TECHNOLOGY LIMITED,02571168,1991-01-02,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
AXON DATA LIMITED,16215521,2025-01-29,Active,26512 - Manufacture of electronic industrial process control equipment,33200 - Installation of industrial machinery and equipment,"63110 - Data processing, hosting and related activities",71122 - Engineering related scientific and technical consulting activities,,,,,,
